bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
599	515	163	0	52	chr1	1883668	1883765	-247072657	+	LSU-rRNA_Hsa	rRNA	rRNA	4192	4283	-752	2
644	282	150	0	0	chr1	7816373	7816413	-241140009	+	5S	rRNA	rRNA	3	42	-79	1
657	467	141	0	0	chr1	9437707	9437778	-239518644	-	5S	rRNA	rRNA	-50	71	1	1
688	256	154	0	0	chr1	13596638	13596677	-235359745	-	5S	rRNA	rRNA	-79	42	4	2
688	432	135	169	0	chr1	13623210	13623284	-235333138	-	5S	rRNA	rRNA	-32	89	1	2
704	266	191	0	0	chr1	15650369	15650411	-233306011	-	5S	rRNA	rRNA	-79	42	1	2
776	890	88	0	0	chr1	25157017	25157130	-223799292	-	LSU-rRNA_Hsa	rRNA	rRNA	-1	5034	4922	4
797	407	22	0	0	chr1	27916098	27916143	-221040279	-	LSU-rRNA_Hsa	rRNA	rRNA	-1330	3705	3661	5
816	270	279	0	0	chr1	30329251	30329330	-218627092	-	LSU-rRNA_Hsa	rRNA	rRNA	-3006	2029	1951	5
822	354	118	0	0	chr1	31110694	31110745	-217845677	+	5S	rRNA	rRNA	1	51	-70	5
824	282	128	0	0	chr1	31378559	31378598	-217577824	-	5S	rRNA	rRNA	-82	39	1	6
831	248	244	60	25	chr1	32367668	32367748	-216588674	+	SSU-rRNA_Hsa	rRNA	rRNA	484	566	-1303	6
845	679	79	0	0	chr1	34112949	34113038	-214843384	+	5S	rRNA	rRNA	2	90	-31	6
865	241	167	23	0	chr1	36702638	36702680	-212253742	-	5S	rRNA	rRNA	-76	45	3	7
866	274	318	0	0	chr1	36849904	36849967	-212106455	-	LSU-rRNA_Hsa	rRNA	rRNA	-1737	3298	3236	7
869	499	194	0	51	chr1	37264688	37264786	-211691636	-	5S	rRNA	rRNA	-28	93	1	7
881	293	125	59	0	chr1	38888816	38888864	-210067558	-	LSU-rRNA_Hsa	rRNA	rRNA	-3022	2013	1963	7
883	684	111	0	0	chr1	39154206	39154296	-209802126	-	5S	rRNA	rRNA	-31	90	1	7
884	239	191	0	0	chr1	39207761	39207803	-209748619	+	5S	rRNA	rRNA	1	42	-79	7
901	563	154	0	0	chr1	41466936	41467027	-207489395	-	5S	rRNA	rRNA	-29	92	2	8
907	1112	173	0	0	chr1	42313627	42313800	-206642622	+	LSU-rRNA_Hsa	rRNA	rRNA	4819	4991	-44	8
909	230	163	23	0	chr1	42490645	42490688	-206465734	+	5S	rRNA	rRNA	1	44	-77	8
909	527	366	73	25	chr1	42580101	42580502	-206375920	+	LSU-rRNA_Hsa	rRNA	rRNA	4584	5005	-30	8
911	1049	178	6	0	chr1	42749792	42749972	-206206450	-	LSU-rRNA_Hsa	rRNA	rRNA	-1	5034	4854	8
914	695	111	0	0	chr1	43196416	43196506	-205759916	+	5S	rRNA	rRNA	1	90	-31	8
920	331	93	0	0	chr1	44014878	44014921	-204941501	-	5S	rRNA	rRNA	-78	43	1	8
925	419	152	122	0	chr1	44670386	44670465	-204285957	-	5S	rRNA	rRNA	-31	90	1	8
927	601	176	73	0	chr1	44932322	44932424	-204023998	+	5S	rRNA	rRNA	1	110	-11	8
932	253	231	0	0	chr1	45489874	45489926	-203466496	-	5S	rRNA	rRNA	-69	52	1	8
939	458	224	10	0	chr1	46436796	46436894	-202519528	-	LSU-rRNA_Hsa	rRNA	rRNA	-116	4919	4821	9
974	262	191	0	0	chr1	51058633	51058675	-197897747	-	5S	rRNA	rRNA	-79	42	1	9
981	747	95	0	0	chr1	51973410	51973505	-196982917	+	5S	rRNA	rRNA	2	96	-25	9
1033	296	275	35	0	chr1	58747990	58748099	-190208323	+	5S	rRNA	rRNA	9	121	0	1
1067	532	234	0	0	chr1	63186333	63186427	-185769995	-	5S	rRNA	rRNA	0	121	28	1
1072	257	128	0	0	chr1	63890861	63890900	-185065522	+	5S	rRNA	rRNA	1	39	-82	1
1078	320	26	0	0	chr1	64689119	64689158	-184267264	-	5S	rRNA	rRNA	-30	91	53	1
1092	279	163	0	0	chr1	66550819	66550862	-182405560	-	5S	rRNA	rRNA	-78	43	1	1
1103	613	241	14	21	chr1	67992807	67992951	-180963471	-	SSU-rRNA_Hsa	rRNA	rRNA	-3	1866	1724	1
1103	1930	246	13	60	chr1	67996224	67996791	-180959631	-	SSU-rRNA_Hsa	rRNA	rRNA	-575	1294	755	1
1109	261	222	0	0	chr1	68796366	68796420	-180160002	-	5S	rRNA	rRNA	-63	58	5	1
1135	316	95	0	0	chr1	72176950	72176992	-176779430	-	5S	rRNA	rRNA	-79	42	1	1
1147	659	100	0	11	chr1	73749535	73749626	-175206796	-	5S	rRNA	rRNA	-31	90	1	1
1163	568	194	113	0	chr1	75774651	75774785	-173181637	-	LSU-rRNA_Hsa	rRNA	rRNA	-1	5034	4884	1
1177	451	181	0	0	chr1	77614868	77614940	-171341482	+	5S	rRNA	rRNA	1	72	-49	1
1178	599	111	0	0	chr1	77779897	77779987	-171176435	+	5S	rRNA	rRNA	1	90	-31	1
1180	659	140	10	0	chr1	78094805	78094905	-170861517	-	5S	rRNA	rRNA	-1	120	20	1
1182	542	89	112	0	chr1	78375188	78375267	-170581155	-	5S	rRNA	rRNA	-31	90	2	1
1198	277	122	0	0	chr1	80385407	80385448	-168570974	+	5S	rRNA	rRNA	2	42	-79	1
1240	674	192	0	0	chr1	85883677	85883797	-163072625	-	5S	rRNA	rRNA	0	121	2	1
1252	627	122	0	0	chr1	87453283	87453373	-161503049	-	5S	rRNA	rRNA	-31	90	1	1
1260	241	195	0	0	chr1	88560142	88560183	-160396239	-	5S	rRNA	rRNA	-79	42	2	1
1282	3277	6	0	0	chr1	91387228	91387590	-157568832	-	LSU-rRNA_Hsa	rRNA	rRNA	-540	4495	4134	1
1288	362	229	28	0	chr1	92189752	92189809	-156766613	+	5S	rRNA	rRNA	1	59	-62	1
